                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1001,                 2.5475,                  1.407,                0.00625,                      1,                0.40583,                 0.2772,                0.53477,                 2.7565,                 1.0319,                0.00016,                0.00016,                0.00016
                      2,                0.53478,                 1.5235,                 1.0459,                0.69754,                0.73801,                0.79198,                0.60842,                 0.4724,                 2.1262,                 1.0074,             0.00033966,             0.00033966,             0.00033966
                      3,                0.53371,                 1.1594,                 1.0218,                0.59244,                0.89156,                0.66501,                0.53517,                0.54754,                 1.8017,                  1.072,             0.00051897,             0.00051897,             0.00051897
                      4,                 0.4816,                 1.0382,                0.99975,                0.68651,                    0.8,                0.80525,                0.60198,                0.66069,                 1.6328,                 1.1798,             0.00069792,             0.00069792,             0.00069792
                      5,                0.55998,                  1.133,                 1.0497,                0.78608,                0.77333,                0.86139,                  0.688,                0.59841,                 1.4938,                 1.0596,             0.00087652,             0.00087652,             0.00087652
                      6,                0.50489,                0.99003,                0.97856,                0.85395,                0.70168,                 0.7858,                 0.5977,                0.62759,                 1.6434,                 1.1448,              0.0010548,              0.0010548,              0.0010548
                      7,                0.51015,                0.89969,                0.98987,                0.83215,                0.77333,                  0.849,                0.62871,                0.66938,                 1.7671,                 1.3151,              0.0012326,              0.0012326,              0.0012326
                      8,                0.52691,                0.93387,                0.98015,                0.83109,                0.70667,                0.79175,                0.50052,                0.86716,                 1.8572,                 1.5713,              0.0014102,              0.0014102,              0.0014102
                      9,                0.56924,                0.98807,                 1.0114,                0.64519,                0.85333,                0.75166,                0.58644,                0.66802,                 1.6045,                 1.1949,              0.0015873,              0.0015873,              0.0015873
                     10,                 0.5577,                0.85085,                 1.0064,                0.69763,                0.79985,                0.77581,                 0.5478,                0.76424,                  2.298,                 1.2702,              0.0017641,              0.0017641,              0.0017641
                     11,                0.55086,                0.90814,                  1.018,                0.79511,                0.69333,                0.75392,                0.51018,                0.86933,                  2.089,                 1.4617,              0.0019406,              0.0019406,              0.0019406
                     12,                0.55357,                0.87168,                 1.0147,                0.48271,                0.70667,                0.55303,                0.30156,                 1.0882,                 2.1566,                 1.7698,              0.0019782,              0.0019782,              0.0019782
                     13,                0.55418,                0.85661,                 1.0266,                0.37301,                 0.4363,                 0.3157,                0.14452,                 1.8569,                 2.4995,                 2.5298,              0.0019782,              0.0019782,              0.0019782
                     14,                0.52629,                0.79442,                0.98943,                 0.3488,                0.34667,                0.24052,                0.08455,                 2.0462,                 2.9457,                 2.7827,              0.0019762,              0.0019762,              0.0019762
                     15,                 0.5329,                0.74423,                0.98562,                0.39279,                   0.48,                0.38806,                0.16392,                 1.6517,                 2.2287,                 2.1897,              0.0019743,              0.0019743,              0.0019743
                     16,                0.52795,                0.73988,                 1.0006,                0.82003,                0.90667,                0.92517,                0.74935,                0.60607,                0.95155,                 1.1072,              0.0019723,              0.0019723,              0.0019723
                     17,                0.55023,                0.72623,                 1.0094,                0.70685,                0.90021,                0.77313,                0.55703,                0.87443,                 1.2517,                 1.4292,              0.0019703,              0.0019703,              0.0019703
                     18,                 0.5267,                0.81509,                 1.0308,                 0.8266,                0.69923,                0.77877,                0.57286,                0.96289,                 1.2492,                 1.4571,              0.0019683,              0.0019683,              0.0019683
                     19,                0.55097,                0.78272,                 1.0067,                0.84603,                   0.72,                0.78041,                0.58139,                0.84008,                 1.7053,                 1.3183,              0.0019663,              0.0019663,              0.0019663
                     20,                0.49947,                0.69755,                0.98727,                 0.7987,                0.66667,                0.75581,                0.50202,                0.99177,                 1.7934,                 1.3688,              0.0019644,              0.0019644,              0.0019644
                     21,                0.52293,                0.69247,                 0.9953,                0.81016,                   0.96,                0.92181,                0.75261,                0.65978,                 1.0451,                 1.1703,              0.0019624,              0.0019624,              0.0019624
                     22,                0.45789,                 0.6396,                0.96415,                0.77607,                0.83181,                 0.8767,                0.67527,                0.82287,                  1.258,                 1.3091,              0.0019604,              0.0019604,              0.0019604
                     23,                0.48906,                0.62624,                0.97743,                  0.565,                    0.4,                0.50155,                0.35458,                 1.1093,                 1.9203,                 1.4411,              0.0019584,              0.0019584,              0.0019584
                     24,                0.52882,                0.67398,                0.98306,                0.19809,                0.26667,                0.09479,                0.02698,                 2.5345,                 2.7619,                 2.9432,              0.0019564,              0.0019564,              0.0019564
                     25,                0.50388,                0.61796,                0.99159,                0.22667,                   0.16,                0.07943,                0.01345,                 3.1732,                 2.8212,                 4.1523,              0.0019545,              0.0019545,              0.0019545
                     26,                0.50224,                0.66506,                0.97393,                0.18514,                0.29333,                0.12859,                0.04195,                 2.0278,                 2.7266,                 2.2274,              0.0019525,              0.0019525,              0.0019525
                     27,                0.47853,                0.60059,                0.96251,                 0.7195,                    0.8,                 0.7795,                0.52733,                 1.0264,                 1.3339,                 1.5983,              0.0019505,              0.0019505,              0.0019505
                     28,                0.49938,                0.62514,                0.97771,                0.85537,                0.94667,                0.94612,                0.80866,                0.49532,                0.73803,                 1.0169,              0.0019485,              0.0019485,              0.0019485
                     29,                0.47116,                0.61988,                 1.0003,                0.86271,                0.82667,                0.89864,                0.73114,                0.58466,                0.89443,                 1.0668,              0.0019465,              0.0019465,              0.0019465
                     30,                0.48282,                0.60694,                0.99673,                 0.7007,                   0.52,                0.67073,                0.40712,                 1.2546,                 1.5457,                 1.6054,              0.0019446,              0.0019446,              0.0019446
                     31,                0.45604,                0.55178,                0.96229,                0.70322,                0.57333,                0.66176,                0.35903,                 1.4744,                  1.643,                 1.8568,              0.0019426,              0.0019426,              0.0019426
                     32,                0.47049,                0.58761,                 0.9553,                0.81961,                0.84817,                0.85075,                0.71473,                0.61286,                0.95487,                 1.0788,              0.0019406,              0.0019406,              0.0019406
                     33,                0.46646,                0.59833,                0.98604,                0.88887,                    0.8,                0.88011,                0.77851,                0.52807,                 0.7134,                 1.0281,              0.0019386,              0.0019386,              0.0019386
                     34,                0.48875,                0.61071,                  0.967,                0.87896,                0.89333,                0.94069,                0.82832,                0.46204,                 0.6628,                 0.9717,              0.0019366,              0.0019366,              0.0019366
                     35,                0.47577,                0.56126,                0.95804,                0.79773,                0.94653,                0.92617,                0.74629,                0.64008,                0.70478,                 1.1131,              0.0019347,              0.0019347,              0.0019347
                     36,                0.48485,                0.61579,                0.97895,                0.88093,                0.89333,                0.93312,                0.79951,                0.56409,                0.82703,                 1.0211,              0.0019327,              0.0019327,              0.0019327
                     37,                0.46157,                 0.6133,                0.94828,                 0.8529,                0.86667,                0.92678,                0.75358,                0.71209,                 1.0818,                 1.2445,              0.0019307,              0.0019307,              0.0019307
                     38,                0.45036,                0.56995,                0.97937,                0.80993,                0.85224,                0.89409,                0.67832,                0.83948,                 1.0259,                 1.2572,              0.0019287,              0.0019287,              0.0019287
                     39,                0.47616,                0.60345,                 1.0057,                0.62496,                0.62667,                0.56057,                0.25744,                 1.6667,                 1.7588,                 2.0442,              0.0019267,              0.0019267,              0.0019267
                     40,                0.46344,                0.54768,                0.95547,                0.76618,                0.77333,                0.82524,                0.66473,                0.57032,                 1.0178,                0.99149,              0.0019248,              0.0019248,              0.0019248
                     41,                 0.4495,                0.53518,                0.94386,                0.93516,                0.78667,                 0.9405,                0.83074,                0.51933,                0.65466,                 1.0515,              0.0019228,              0.0019228,              0.0019228
                     42,                0.45325,                0.57055,                0.96461,                0.84656,                    0.8,                0.90496,                 0.7977,                 0.4671,                0.73774,                0.91259,              0.0019208,              0.0019208,              0.0019208
                     43,                0.44435,                  0.545,                0.94565,                 0.8397,                0.76835,                0.86282,                 0.7825,                0.44961,                0.81646,                 0.9096,              0.0019188,              0.0019188,              0.0019188
                     44,                0.44884,                0.55938,                 0.9694,                0.82914,                0.85333,                 0.9109,                0.78393,                0.53998,                0.85383,                 1.0976,              0.0019168,              0.0019168,              0.0019168
                     45,                0.43461,                0.52527,                0.95867,                 0.8148,                   0.88,                0.84626,                0.71266,                0.59562,                0.85642,                 1.1387,              0.0019149,              0.0019149,              0.0019149
                     46,                0.43869,                0.51937,                 0.9493,                0.86542,                0.85744,                0.90145,                0.80416,                0.43306,                0.62365,                 0.9578,              0.0019129,              0.0019129,              0.0019129
