                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.68815,                 1.0616,                 1.0109,                0.47914,                0.43733,                0.45358,                0.31127,                0.92544,                 2.2256,                   1.17,             0.00096733,             0.00096733,             0.00096733
                     36,                0.64879,                0.85333,                0.98168,                0.48515,                0.44579,                0.45752,                0.28877,                 0.9549,                 2.3116,                 1.1829,             0.00096634,             0.00096634,             0.00096634
                     37,                0.76321,                 1.3673,                 1.1475,                0.48515,                0.44579,                0.45752,                0.28877,                 0.9549,                 2.3116,                 1.1829,             0.00096535,             0.00096535,             0.00096535
                     38,                0.58895,                0.83569,                0.94877,                0.67771,                0.25007,                0.41198,                0.23256,                0.97869,                  2.228,                 1.2084,             0.00096436,             0.00096436,             0.00096436
                     39,                0.59804,                 0.8409,                0.95833,                 0.5389,                  0.343,                0.34656,                0.21806,                 1.0118,                 2.1034,                 1.2525,             0.00096337,             0.00096337,             0.00096337
                     40,                0.59716,                0.86662,                0.96361,                0.67276,                0.34825,                0.40836,                0.27977,                0.89801,                 1.9197,                 1.1604,             0.00096238,             0.00096238,             0.00096238
                     41,                0.63394,                0.87052,                0.95563,                0.67276,                0.34825,                0.40836,                0.27977,                0.89801,                 1.9197,                 1.1604,             0.00096139,             0.00096139,             0.00096139
                     42,                0.66307,                0.90225,                0.98852,                0.74292,                0.42716,                0.48473,                0.32292,                0.90147,                  1.883,                 1.1211,              0.0009604,              0.0009604,              0.0009604
                     43,                0.66402,                0.95004,                0.93267,                0.69391,                0.46461,                0.51489,                0.36427,                0.89231,                 1.9315,                 1.0997,             0.00095941,             0.00095941,             0.00095941
                     44,                0.62941,                0.84431,                0.96259,                0.66947,                0.60572,                0.58108,                0.42275,                0.86978,                 1.9715,                 1.1035,             0.00095842,             0.00095842,             0.00095842
                     45,                0.60326,                0.82673,                0.93279,                0.66947,                0.60572,                0.58108,                0.42275,                0.86978,                 1.9715,                 1.1035,             0.00095743,             0.00095743,             0.00095743
                     46,                0.64739,                0.82496,                0.96395,                0.76301,                0.60445,                 0.6638,                0.51417,                 0.7998,                 1.6145,                 1.0798,             0.00095644,             0.00095644,             0.00095644
