                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3193,                 3.6047,                 1.3314,                0.01591,                0.47025,                 0.1489,                0.10573,                0.80353,                 3.4924,                 1.0959,                  8e-05,                  8e-05,                  8e-05
                      2,                0.80685,                 2.8675,                 1.0632,                0.03762,                0.67499,                0.26808,                 0.2075,                0.66484,                  3.054,                0.95179,             0.00016983,             0.00016983,             0.00016983
                      3,                 0.7659,                 2.1455,                 1.0295,                0.95096,                0.25078,                0.31731,                0.23714,                0.70073,                 2.4941,                0.98926,             0.00025949,             0.00025949,             0.00025949
                      4,                0.72246,                 1.6383,                 1.0281,                0.93634,                0.28991,                0.41064,                 0.3242,                0.68167,                 1.9789,                0.96946,             0.00034896,             0.00034896,             0.00034896
                      5,                 0.7209,                 1.5093,                 1.0189,                0.76388,                0.42028,                0.51014,                0.39663,                 0.6504,                 1.4702,                0.98283,             0.00043826,             0.00043826,             0.00043826
                      6,                0.67451,                 1.2604,                0.99025,                0.54292,                0.42264,                0.47525,                0.34842,                 0.6706,                 1.6222,                0.99843,             0.00052738,             0.00052738,             0.00052738
                      7,                0.64211,                 1.0851,                0.97673,                0.92801,                0.35156,                0.50631,                0.39556,                0.62695,                 1.4669,                0.96603,             0.00061632,             0.00061632,             0.00061632
                      8,                0.63022,                0.95826,                0.97508,                0.88423,                0.42015,                0.60192,                0.42951,                0.64138,                 1.5657,                0.97174,             0.00070508,             0.00070508,             0.00070508
                      9,                0.66366,                0.98736,                0.98946,                0.88485,                0.44493,                0.57455,                0.42758,                0.67923,                 1.5404,                0.99297,             0.00079366,             0.00079366,             0.00079366
                     10,                0.61169,                0.89613,                0.97014,                0.92799,                0.38592,                0.60012,                0.41686,                0.79969,                 1.7292,                 1.0698,             0.00088207,             0.00088207,             0.00088207
                     11,                0.59799,                0.87606,                0.96799,                0.62285,                0.45936,                0.64071,                0.42785,                0.82241,                  1.856,                 1.1109,              0.0009703,              0.0009703,              0.0009703
                     12,                0.60485,                0.86377,                0.97226,                0.68585,                0.51882,                0.68331,                0.47783,                0.77233,                 1.7137,                 1.0539,             0.00098911,             0.00098911,             0.00098911
                     13,                0.62304,                 0.8927,                0.96202,                0.66537,                0.58797,                 0.7484,                0.52152,                0.69151,                 1.3707,                  1.005,             0.00098911,             0.00098911,             0.00098911
                     14,                0.59718,                0.85496,                0.96607,                0.70631,                0.59821,                0.71763,                0.47866,                0.82285,                 1.3588,                 1.0556,             0.00098812,             0.00098812,             0.00098812
                     15,                 0.6302,                0.84438,                0.96731,                0.88676,                0.47121,                0.68171,                 0.4549,                0.76619,                 1.4064,                 1.1085,             0.00098713,             0.00098713,             0.00098713
                     16,                0.60955,                0.82652,                0.95343,                0.78756,                0.78055,                0.82466,                0.56608,                0.68756,                 1.0779,                 1.0138,             0.00098614,             0.00098614,             0.00098614
                     17,                0.59516,                0.78627,                0.94819,                0.81613,                  0.831,                 0.8827,                0.65027,                0.67372,                  1.035,                0.97982,             0.00098515,             0.00098515,             0.00098515
                     18,                0.59004,                0.77822,                0.96254,                0.81091,                0.83198,                0.91091,                0.69425,                0.64542,                 1.0244,                0.97541,             0.00098416,             0.00098416,             0.00098416
                     19,                0.58842,                0.79761,                0.94252,                0.79131,                0.84824,                0.89248,                0.67115,                0.68823,                0.94288,                 0.9987,             0.00098317,             0.00098317,             0.00098317
                     20,                0.55638,                0.71839,                0.93702,                0.86784,                0.87131,                0.92486,                0.69714,                0.64144,                0.86706,                0.97197,             0.00098218,             0.00098218,             0.00098218
                     21,                0.57165,                0.76455,                0.94393,                 0.8377,                 0.8738,                0.93515,                0.67418,                0.67255,                0.92903,                 1.0279,             0.00098119,             0.00098119,             0.00098119
                     22,                0.56753,                0.71699,                0.94254,                0.78176,                0.92396,                0.94023,                0.69434,                0.65562,                0.89627,                 1.0231,              0.0009802,              0.0009802,              0.0009802
                     23,                0.57223,                0.71402,                0.94891,                0.85607,                0.89655,                0.92029,                0.70628,                0.62433,                0.86221,                0.97566,             0.00097921,             0.00097921,             0.00097921
